date,open,high,low,close,volume
2015-03-03,275.95,284.95,265.89,281.0,20977.320876670034
2015-03-04,281.03,283.88,264.94,270.78,14313.166893050042
2015-03-05,270.72,280.5,262.2,273.09,11428.338456570073
2015-03-06,273.46,276.46,269.0,272.68,6853.279915480007
2015-03-07,272.61,279.48,270.0,276.71,5716.654776129989
2015-03-08,276.71,277.57,271.12,275.0,4430.690794820002
2015-03-09,275.0,289.0,274.17,287.12,11996.31878526007
2015-03-10,287.12,296.8,283.96,290.0,13129.060901980038
2015-03-11,290.0,296.79,285.83,296.54,6737.503002670017
2015-03-12,296.29,297.95,289.0,295.31,7880.6739657600565
2015-03-13,295.66,295.66,282.99,283.25,9610.54940209007
2015-03-14,283.25,287.69,280.46,282.01,5375.799727280026
2015-03-15,282.36,287.75,281.42,286.75,2430.0456794299953
2015-03-16,286.79,294.26,285.78,289.27,6499.9182730600305
2015-03-17,289.27,292.99,281.9,282.8,6447.419553370024
2015-03-18,282.8,284.0,249.02,256.45,21654.682071359995
2015-03-19,256.59,265.95,249.0,261.81,15017.741718710093
2015-03-20,261.97,265.27,257.0,261.96,5678.3800415599735
2015-03-21,261.92,262.49,256.25,260.0,4623.894872050055
2015-03-22,260.0,272.0,259.24,267.74,5976.838525470017
2015-03-23,268.28,270.07,259.5,265.94,8658.47290411002
2015-03-24,265.98,266.52,241.84,245.0,19052.729707770028
2015-03-25,245.29,250.0,236.4,246.94,12881.632766999963
2015-03-26,246.99,253.75,244.91,249.23,8385.937233019997
2015-03-27,249.23,250.52,245.12,247.94,6089.846380760026
2015-03-28,247.93,253.83,247.25,252.87,5685.639559300002
2015-03-29,252.91,252.96,239.96,242.0,6690.228388510002
2015-03-30,242.41,248.86,236.52,247.95,7951.747137860019
2015-03-31,247.95,248.59,238.55,244.24,8114.089556649988
2015-04-01,243.93,246.83,239.32,246.69,6226.01646439
2015-04-02,246.68,256.96,244.52,253.28,9806.822203079997
2015-04-03,253.22,256.67,251.23,254.19,5048.577375590021
2015-04-04,254.19,255.85,250.76,253.7,2769.2816578200072
2015-04-05,253.6,261.0,251.65,260.54,5759.360160010003
2015-04-06,260.57,262.98,254.0,255.58,5960.677632990002
2015-04-07,255.54,256.62,251.5,253.72,6010.267581510041
2015-04-08,253.71,254.96,243.06,244.58,11663.656155150013
2015-04-09,244.84,246.3,238.47,243.43,7943.710540550021
2015-04-10,243.75,243.94,231.0,235.99,11549.63065654001
2015-04-11,235.99,239.42,233.0,236.15,4108.504000570007
2015-04-12,236.09,237.5,233.42,236.5,3173.3276509499997
2015-04-13,236.42,236.9,219.64,223.15,13924.226705600084
2015-04-14,222.97,224.79,210.0,215.8,18582.18957530997
2015-04-15,215.78,222.88,214.05,222.88,9949.324421389967
2015-04-16,222.83,229.67,222.44,227.5,10834.873286840078
2015-04-17,227.36,228.29,220.0,222.6,7928.395399920005
2015-04-18,222.6,224.72,220.32,223.4,4620.315578990007
2015-04-19,223.35,227.35,221.91,222.54,5901.4956757500095
2015-04-20,222.54,226.51,221.43,224.3,5966.8612393000085
2015-04-21,224.3,236.0,223.91,235.74,9923.678250349985
2015-04-22,235.71,238.64,229.1,233.45,10710.500240199992
2015-04-23,233.25,236.22,232.01,235.98,8352.857321740039
2015-04-24,235.61,236.0,228.0,230.24,8543.66710733994
2015-04-25,231.04,232.29,225.7,226.12,5286.098593520019
2015-04-26,226.12,227.26,214.98,219.52,11238.356288100045
